START:  w1
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.9140625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.84814453125
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.43798828125
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.3828125
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.89208984375
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.93188476562
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.22900390625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.3037109375
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.22290039062
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.89086914062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.30200195312
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.69897460938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.29516601562
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.623046875
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.29907226562
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.17993164062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.77612304688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.32592773438
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.99291992188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.48413085938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.28002929688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.9619140625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.283203125
add , b3 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  4.56811523438
add , b3 , status : 0 , Total :  417.364990234
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
